
--- Simulation Session Started at 2026-09-23 20:01:37.891328 ---
=== RIGOROUS COLLATZ ENGINE INITIALIZED ===

=== RIGOROUS EXPONENTIAL SCALE COLLATZ ENGINE ===
Running with strict modular math and exponent scale tracking...
Press Ctrl+C to stop anytime.
Elapsed: 3s | Steps: 625000000 | Audits: 0 | Exp Scale 2^: ~28.9616 bits
Elapsed: 3s | Steps: 626000000 | Audits: 0 | Exp Scale 2^: ~6.6865 bits
Elapsed: 3s | Steps: 628000000 | Audits: 0 | Exp Scale 2^: ~6.50779 bits
Elapsed: 3s | Steps: 638000000 | Audits: 0 | Exp Scale 2^: ~8.73132 bits
Elapsed: 3s | Steps: 646000000 | Audits: 0 | Exp Scale 2^: ~37.9702 bits
Elapsed: 3s | Steps: 657000000 | Audits: 0 | Exp Scale 2^: ~8.55842 bits
Elapsed: 3s | Steps: 670000000 | Audits: 0 | Exp Scale 2^: ~25.1597 bits
Elapsed: 3s | Steps: 673000000 | Audits: 0 | Exp Scale 2^: ~10.0755 bits
Elapsed: 4s | Steps: 677000000 | Audits: 0 | Exp Scale 2^: ~8.03892 bits
Elapsed: 4s | Steps: 682000000 | Audits: 0 | Exp Scale 2^: ~34.8785 bits
Elapsed: 4s | Steps: 684000000 | Audits: 0 | Exp Scale 2^: ~33.0331 bits
Elapsed: 4s | Steps: 696000000 | Audits: 0 | Exp Scale 2^: ~25.6071 bits
Elapsed: 4s | Steps: 698000000 | Audits: 0 | Exp Scale 2^: ~38.0428 bits
Elapsed: 4s | Steps: 711000000 | Audits: 0 | Exp Scale 2^: ~38.5596 bits
Elapsed: 4s | Steps: 712000000 | Audits: 0 | Exp Scale 2^: ~3.70044 bits
Elapsed: 4s | Steps: 721000000 | Audits: 0 | Exp Scale 2^: ~16.0369 bits
Elapsed: 4s | Steps: 723000000 | Audits: 0 | Exp Scale 2^: ~41.5838 bits
Elapsed: 4s | Steps: 726000000 | Audits: 0 | Exp Scale 2^: ~30.289 bits
Elapsed: 4s | Steps: 732000000 | Audits: 0 | Exp Scale 2^: ~36.8106 bits
Elapsed: 4s | Steps: 734000000 | Audits: 0 | Exp Scale 2^: ~30.004 bits
Elapsed: 4s | Steps: 737000000 | Audits: 0 | Exp Scale 2^: ~18.5258 bits
Elapsed: 4s | Steps: 741000000 | Audits: 0 | Exp Scale 2^: ~25.8283 bits
Elapsed: 4s | Steps: 746000000 | Audits: 0 | Exp Scale 2^: ~21.2756 bits
Elapsed: 4s | Steps: 757000000 | Audits: 0 | Exp Scale 2^: ~37.5192 bits
Elapsed: 4s | Steps: 760000000 | Audits: 0 | Exp Scale 2^: ~11.041 bits
Elapsed: 4s | Steps: 764000000 | Audits: 0 | Exp Scale 2^: ~42.8528 bits
Elapsed: 4s | Steps: 766000000 | Audits: 0 | Exp Scale 2^: ~24.7649 bits
Elapsed: 4s | Steps: 768000000 | Audits: 0 | Exp Scale 2^: ~41.1806 bits
Elapsed: 4s | Steps: 773000000 | Audits: 0 | Exp Scale 2^: ~31.2291 bits
Elapsed: 4s | Steps: 775000000 | Audits: 0 | Exp Scale 2^: ~38.0238 bits
Elapsed: 4s | Steps: 778000000 | Audits: 0 | Exp Scale 2^: ~18.8459 bits
Elapsed: 4s | Steps: 781000000 | Audits: 0 | Exp Scale 2^: ~38.6951 bits
Elapsed: 4s | Steps: 786000000 | Audits: 0 | Exp Scale 2^: ~21.8216 bits
Elapsed: 4s | Steps: 788000000 | Audits: 0 | Exp Scale 2^: ~5.55459 bits
Elapsed: 4s | Steps: 791000000 | Audits: 0 | Exp Scale 2^: ~29.6608 bits
Elapsed: 4s | Steps: 792000000 | Audits: 0 | Exp Scale 2^: ~40.5453 bits
Elapsed: 4s | Steps: 804000000 | Audits: 0 | Exp Scale 2^: ~6.65821 bits
Elapsed: 4s | Steps: 805000000 | Audits: 0 | Exp Scale 2^: ~22.7252 bits
Elapsed: 4s | Steps: 806000000 | Audits: 0 | Exp Scale 2^: ~12.2782 bits
Elapsed: 4s | Steps: 808000000 | Audits: 0 | Exp Scale 2^: ~37.2734 bits
Elapsed: 4s | Steps: 810000000 | Audits: 0 | Exp Scale 2^: ~13.7148 bits
Elapsed: 4s | Steps: 812000000 | Audits: 0 | Exp Scale 2^: ~10.0755 bits
Elapsed: 4s | Steps: 814000000 | Audits: 0 | Exp Scale 2^: ~24.8134 bits
Elapsed: 4s | Steps: 822000000 | Audits: 0 | Exp Scale 2^: ~26.8531 bits
Elapsed: 4s | Steps: 823000000 | Audits: 0 | Exp Scale 2^: ~10.0782 bits
Elapsed: 4s | Steps: 825000000 | Audits: 0 | Exp Scale 2^: ~10.5517 bits
Elapsed: 4s | Steps: 826000000 | Audits: 0 | Exp Scale 2^: ~36.6842 bits
Elapsed: 4s | Steps: 827000000 | Audits: 0 | Exp Scale 2^: ~34.8559 bits
Elapsed: 4s | Steps: 834000000 | Audits: 0 | Exp Scale 2^: ~40.6199 bits
Elapsed: 4s | Steps: 839000000 | Audits: 0 | Exp Scale 2^: ~41.0075 bits
Elapsed: 4s | Steps: 840000000 | Audits: 0 | Exp Scale 2^: ~30.6498 bits
Elapsed: 4s | Steps: 841000000 | Audits: 0 | Exp Scale 2^: ~9.97871 bits
